country,Peak,Year,Total number of cases reported for the peak month
UK,December,2020,32059035.0
UK,January,2021,52555776.0
USA,December,2020,201827749.0
USA,January,2021,265578810.0
Uganda,December,2020,34503.0
Uganda,July,2021,610732.0
Ukraine,April,2021,11845139.0
Ukraine,December,2020,11330675.0
United Arab Emirates,December,2020,636433.0
United Arab Emirates,January,2021,778117.0
Uruguay,December,2020,113355.0
Uruguay,May,2021,919758.0
Uzbekistan,July,2020,197303.0
Uzbekistan,July,2021,122868.0
Vanuatu,March,2021,48.0
Vanuatu,November,2020,21.0
Venezuela,June,2021,498861.0
Venezuela,September,2020,308158.0
Viet Nam,August,2020,12100.0
Viet Nam,July,2021,1272574.0
Wallis And Futuna Islands,December,2020,78.0
Wallis And Futuna Islands,March,2021,5424.0
Western Sahara,April,2020,108.0
Western Sahara,January,2021,31.0
Western Sahara,March,2021,31.0
Western Sahara,May,2021,31.0
Yemen,April,2021,69192.0
Yemen,July,2020,12332.0
Zambia,July,2020,35287.0
Zambia,June,2021,424697.0
Zimbabwe,August,2020,64092.0
Zimbabwe,July,2021,688775.0
